tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:00.000000 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.008037 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.083754 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.094087 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.165001 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.172380 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.247432 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.257730 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.336555 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.342014 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.421267 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.426545 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.505109 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.509552 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.581385 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.592939 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.670099 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.677408 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.750909 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.752237 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.830471 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.832729 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.916309 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.920595 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.995632 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.002278 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.073428 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.079757 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.162171 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.164578 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.237674 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.240975 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.315866 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.316070 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.395842 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.397146 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.472411 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.476694 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.552003 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.563258 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.636656 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.646937 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.723355 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.726699 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.805076 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.812392 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.882749 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.890022 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.966636 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.966851 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.045099 eth2  In  IP 10.0.29.3.49090 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.045198 eth2  Out IP 10.0.29.2.37716 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.085879 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 3222602054:3222602089, ack 3815833099, win 64, options [nop,nop,TS val 4270872380 ecr 2663022749], length 35: BGP
 00:00:02.085959 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [.], ack 35, win 63, options [nop,nop,TS val 2663039536 ecr 4270872380], length 0
 00:00:02.086106 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [P.], seq 1:55, ack 35, win 63, options [nop,nop,TS val 2663039536 ecr 4270872380], length 54: BGP
 00:00:02.086115 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [.], ack 55, win 64, options [nop,nop,TS val 4270872381 ecr 2663039536], length 0
 00:00:02.086306 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 35:80, ack 55, win 64, options [nop,nop,TS val 4270872381 ecr 2663039536], length 45: BGP
 00:00:02.127064 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [.], ack 80, win 63, options [nop,nop,TS val 2663039577 ecr 4270872381], length 0
 00:00:03.742982 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [P.], seq 55:74, ack 80, win 63, options [nop,nop,TS val 2663041193 ecr 4270872381], length 19: BGP
 00:00:03.785095 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [.], ack 74, win 64, options [nop,nop,TS val 4270874080 ecr 2663041193], length 0
 00:00:10.182397 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 80:128, ack 74, win 64, options [nop,nop,TS val 4270880477 ecr 2663041193], length 48: BGP
 00:00:10.182470 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [.], ack 128, win 63, options [nop,nop,TS val 2663047632 ecr 4270880477], length 0
 00:00:10.182589 eth2  Out IP 10.0.29.2.49201 > 10.0.29.3.3784: BFDv1, Control, State Down, Flags: [none], length: 24
 00:00:10.182616 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [P.], seq 74:101, ack 128, win 63, options [nop,nop,TS val 2663047632 ecr 4270880477], length 27: BGP
 00:00:10.182632 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [.], ack 101, win 64, options [nop,nop,TS val 4270880477 ecr 2663047632], length 0
 00:00:10.183520 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 128:173, ack 101, win 64, options [nop,nop,TS val 4270880478 ecr 2663047632], length 45: BGP
 00:00:10.224945 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [.], ack 173, win 63, options [nop,nop,TS val 2663047675 ecr 4270880478], length 0
