timestamp,router,first_stale_marker_ms,first_bird_route_missing_ms,first_kernel_route_missing_ms,ping_tx,ping_rx,ping_loss_percent
20260626_105126,hpe-r1,5641,15401,NA,410,410,0
20260626_105126,hpe-r2,5641,15401,NA,410,410,0
