tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:01.841479 eth2  Out IP 10.0.29.2.60400 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.919051 eth2  In  IP 10.0.29.3.41893 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.919305 eth2  Out IP 10.0.29.2.60400 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.001690 eth2  Out IP 10.0.29.2.60400 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.006966 eth2  In  IP 10.0.29.3.41893 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.016429 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 3222601715:3222601750, ack 3815832999, win 64, options [nop,nop,TS val 4270765757 ecr 2662920289], length 35: BGP
 00:00:02.016516 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [.], ack 35, win 63, options [nop,nop,TS val 2662932912 ecr 4270765757], length 0
 00:00:02.016635 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 35:80, ack 1, win 64, options [nop,nop,TS val 4270765757 ecr 2662932912], length 45: BGP
 00:00:02.016660 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [.], ack 80, win 63, options [nop,nop,TS val 2662932912 ecr 4270765757], length 0
 00:00:02.016665 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [P.], seq 1:55, ack 80, win 63, options [nop,nop,TS val 2662932912 ecr 4270765757], length 54: BGP
 00:00:02.016678 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [.], ack 55, win 64, options [nop,nop,TS val 4270765757 ecr 2662932912], length 0
 00:00:10.108311 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 80:128, ack 55, win 64, options [nop,nop,TS val 4270773849 ecr 2662932912], length 48: BGP
 00:00:10.108396 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Down, Flags: [none], length: 24
 00:00:10.108568 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [P.], seq 55:82, ack 128, win 63, options [nop,nop,TS val 2662941004 ecr 4270773849], length 27: BGP
 00:00:10.108598 eth3  Out IP 10.0.12.3.179 > 10.0.12.2.45004: Flags [P.], seq 128:173, ack 82, win 64, options [nop,nop,TS val 4270773849 ecr 2662941004], length 45: BGP
 00:00:10.149017 eth3  In  IP 10.0.12.2.45004 > 10.0.12.3.179: Flags [.], ack 173, win 63, options [nop,nop,TS val 2662941045 ecr 4270773849], length 0
 00:00:10.787325 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Init, Flags: [none], length: 24
 00:00:10.787508 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.787572 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.787594 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.787654 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.868918 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.871192 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.947527 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.960051 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.024503 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.036787 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.106245 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.119612 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.183103 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.197354 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.260648 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.285344 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.349667 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.363224 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.425532 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.448065 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.513503 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.537743 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.593079 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.620558 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.671922 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.709191 eth2  In  IP 10.0.29.3.59003 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.749543 eth2  Out IP 10.0.29.2.53466 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
