tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:01.815713 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.883193 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.900447 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.962912 eth1  Out IP 10.0.29.2.36923 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:01.987154 eth1  In  IP 10.0.29.3.38784 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:02.036052 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 221767228:221767263, ack 3568888959, win 63, options [nop,nop,TS val 625347122 ecr 396141987], length 35: BGP
 00:00:02.036139 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 35, win 64, options [nop,nop,TS val 396198478 ecr 625347122], length 0
 00:00:02.036177 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 35:80, ack 1, win 63, options [nop,nop,TS val 625347122 ecr 396198478], length 45: BGP
 00:00:02.036191 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 80, win 64, options [nop,nop,TS val 396198478 ecr 625347122], length 0
 00:00:02.036460 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 1:55, ack 80, win 64, options [nop,nop,TS val 396198478 ecr 625347122], length 54: BGP
 00:00:02.036481 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [.], ack 55, win 63, options [nop,nop,TS val 625347122 ecr 396198478], length 0
