timestamp,router,target_prefix,gr_time_s,llgr_stale_time_s,first_stale_marker_ms,first_route_missing_ms,first_kernel_route_missing_ms,ping_tx,ping_rx,ping_loss_percent
20260626_104011,hpe-r1,10.0.93.0/24,5,10,5183,15239,NA,273,273,0
20260626_104011,hpe-r2,10.0.93.0/24,5,10,5183,15239,NA,273,273,0
